customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Age,SatisfactionScore,CustomerSupportCalls,PaymentTimeliness,LifetimeValue,AverageDailyUsage,Email
sdv-id-WXkorf,1,0,1,0,62,1,1,Fiber optic,1,1,1,1,1,1,Two year,1,Bank transfer (automatic),94.9,5577.79,0,36,High,5,On-time,3419.6763305473096,2.32,user10@sample.com
sdv-id-QUoJOA,0,0,1,1,5,0,0,DSL,0,0,0,1,1,1,Month-to-month,1,Electronic check,46.1,1015.12,0,48,High,1,On-time,963.1560748856431,4.73,user11@sample.com
sdv-id-lmdzUR,0,0,0,0,68,1,1,Fiber optic,1,0,1,0,1,1,Two year,1,Credit card (automatic),75.64,6046.95,0,17,High,4,On-time,1137.433149938343,4.14,user12@demo.net
sdv-id-bjwkpo,1,1,1,0,68,1,1,No,0,0,0,0,0,0,Two year,0,Bank transfer (automatic),23.88,1928.47,0,56,High,8,On-time,2974.5560120925907,2.5,user13@example.com
sdv-id-ZAiBUM,1,0,0,1,71,1,1,No,0,0,0,0,0,0,Two year,0,Credit card (automatic),24.1,1281.17,0,34,Low,5,On-time,3843.956163973294,4.75,user14@gmail.com
sdv-id-TJRNGW,1,0,0,0,72,1,1,Fiber optic,0,1,1,1,1,1,One year,1,Electronic check,103.01,5536.12,0,22,High,9,Late,550.5225778402478,1.32,user15@demo.net
sdv-id-PtHatA,0,1,1,0,2,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,99.21,42.71,1,72,Low,6,Late,52.26824739318246,1.67,user16@demo.net
sdv-id-OASRxR,1,1,1,0,68,1,1,Fiber optic,0,1,1,0,1,1,One year,1,Credit card (automatic),92.38,6731.65,1,65,Low,7,Late,2464.5189549552333,3.65,user17@sample.com
sdv-id-HWMHji,1,0,1,1,59,1,0,DSL,1,1,0,1,0,0,Month-to-month,0,Mailed check,28.22,1873.94,0,41,Low,2,On-time,641.6842738204174,3.07,user18@test.org
sdv-id-eARzce,0,0,1,0,29,1,1,Fiber optic,0,1,1,0,1,1,Month-to-month,0,Bank transfer (automatic),108.2,2235.98,0,14,High,3,On-time,2775.704897850382,1.76,user19@sample.com
sdv-id-JRqtoJ,0,0,1,0,41,0,0,DSL,1,1,1,0,0,1,Two year,0,Electronic check,41.41,1644.23,0,30,High,8,On-time,1178.114654479034,1.39,user20@sample.com
sdv-id-LhzQFb,0,0,0,0,42,0,1,DSL,0,0,0,1,0,0,One year,1,Mailed check,29.38,1231.19,0,36,Low,2,On-time,1021.9358185427088,1.58,user21@demo.net
sdv-id-yizlfe,1,1,0,0,14,1,0,DSL,0,1,0,0,1,1,Month-to-month,1,Electronic check,91.29,1103.87,0,71,Low,5,On-time,2343.7526750145553,1.6,user22@gmail.com
sdv-id-uCOpIY,1,0,1,1,17,1,0,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Bank transfer (automatic),92.52,2259.19,0,38,Low,3,On-time,1305.1710808795801,3.1,user23@gmail.com
sdv-id-DFcOGw,1,0,1,0,72,1,0,Fiber optic,1,0,1,1,1,1,Two year,0,Credit card (automatic),104.51,7246.7,0,38,Low,7,On-time,2853.0247030178475,3.02,user24@demo.net
sdv-id-GfZiwb,0,1,1,1,5,1,1,DSL,0,0,1,0,0,0,Month-to-month,1,Bank transfer (automatic),63.1,260.35,0,65,Low,6,On-time,5588.5644463344925,1.09,user25@sample.com
sdv-id-wejIoO,0,0,1,0,49,1,0,No,0,0,0,0,0,0,Two year,0,Mailed check,21.46,569.15,0,38,Low,1,On-time,1735.7978546133154,1.99,user26@example.com
sdv-id-tlDpIK,1,0,1,1,45,1,1,DSL,1,1,0,0,0,0,One year,0,Credit card (automatic),92.95,3343.86,0,39,Low,3,On-time,1471.0641065745533,2.47,user27@demo.net
sdv-id-knRFhK,1,0,1,0,9,1,1,DSL,0,0,0,0,1,1,Month-to-month,1,Mailed check,50.83,1341.92,0,41,Low,4,On-time,5792.978164450152,4.29,user28@test.org
sdv-id-ekPSxb,0,0,1,0,23,1,1,Fiber optic,0,1,1,0,1,1,Month-to-month,0,Electronic check,96.0,6472.09,1,40,Low,9,On-time,91.90151687700997,1.35,user29@test.org
sdv-id-piTHyQ,1,0,1,0,3,0,1,DSL,0,1,0,1,1,1,Month-to-month,1,Electronic check,66.9,206.68,1,21,Low,7,Late,94.3267873021055,4.85,user30@demo.net
sdv-id-yVnEaH,1,0,0,0,12,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,96.29,185.67,0,40,Low,7,On-time,427.7829985923643,3.55,user31@gmail.com
sdv-id-IPnOHm,1,1,1,0,15,1,0,No,0,0,0,0,0,0,Month-to-month,1,Credit card (automatic),23.26,1095.48,0,71,Low,4,On-time,644.3324976014663,2.8,user32@example.com
sdv-id-xNtYmG,1,0,0,0,19,1,1,Fiber optic,1,1,0,0,0,1,Month-to-month,1,Electronic check,105.62,3144.89,1,31,Low,5,Late,64.58589444268134,1.31,user33@example.com
sdv-id-HrqiQU,1,0,0,0,22,1,0,No,0,0,0,0,0,0,Two year,0,Credit card (automatic),20.77,297.66,0,20,High,0,Late,3357.6179561348395,3.04,user34@test.org
sdv-id-sbAwrO,1,0,0,0,1,1,0,No,0,0,0,0,0,0,Month-to-month,0,Electronic check,21.93,18.8,1,24,High,6,On-time,1006.4006421094878,1.97,user35@gmail.com
sdv-id-dQCoKl,0,0,1,1,64,1,1,DSL,1,1,1,1,1,1,Two year,0,Bank transfer (automatic),105.79,7593.12,0,45,Low,8,On-time,3395.7851748222347,2.98,user36@gmail.com
sdv-id-ATuhOL,0,0,1,0,45,1,0,DSL,1,1,1,0,1,1,One year,1,Credit card (automatic),63.95,5394.31,0,35,Low,7,Late,4385.043887467661,4.78,user37@demo.net
sdv-id-fcdrWN,1,1,0,0,22,1,1,Fiber optic,0,0,0,0,0,1,Month-to-month,1,Electronic check,76.61,641.49,1,60,Low,6,On-time,1522.0790218277725,3.8,user38@example.com
sdv-id-ekgNmC,0,1,1,0,2,1,0,Fiber optic,0,0,0,0,0,1,Month-to-month,1,Electronic check,100.31,1794.15,1,77,Low,9,Late,1087.8682490750311,4.28,user39@sample.com
sdv-id-KXUeye,1,1,0,0,4,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,69.57,149.34,1,65,Low,8,Late,77.92957824535388,2.04,user40@test.org
sdv-id-DofnTO,1,1,1,0,7,1,1,Fiber optic,0,1,0,0,0,1,Month-to-month,1,Electronic check,110.86,1611.84,1,66,Low,6,Late,841.1150217343483,1.12,user41@example.com
sdv-id-JiTlfR,1,0,1,1,63,1,1,No,0,0,0,0,0,0,Two year,1,Credit card (automatic),23.27,1474.85,0,43,Low,2,On-time,4134.847807812622,1.42,user42@gmail.com
sdv-id-bhRVZs,0,1,0,0,59,1,0,No,0,0,0,0,0,0,Two year,0,Credit card (automatic),21.07,1237.83,0,69,Low,2,On-time,849.2304119292781,2.82,user43@sample.com
sdv-id-atJrij,0,0,1,0,5,0,1,DSL,1,0,0,0,0,1,Month-to-month,1,Electronic check,36.84,825.94,0,42,Low,0,On-time,2678.281309744733,4.75,user44@test.org
sdv-id-xKMkmJ,0,0,0,0,37,0,0,DSL,1,1,1,1,1,1,Two year,1,Credit card (automatic),61.98,5532.01,0,52,Low,4,On-time,1364.6995893447647,4.25,user45@example.com
sdv-id-QYnDDi,1,0,0,0,10,1,0,Fiber optic,0,1,0,0,1,0,Month-to-month,1,Bank transfer (automatic),87.74,1376.51,0,42,High,2,On-time,1132.1847971732939,3.84,user46@sample.com
sdv-id-JSXeas,1,1,0,0,18,1,1,Fiber optic,0,1,1,0,0,0,Month-to-month,1,Electronic check,111.3,1588.87,1,72,Low,8,On-time,3028.8203637691604,3.19,user47@sample.com
sdv-id-RwEXwB,1,0,1,0,34,1,0,No,0,0,0,0,0,0,Two year,1,Mailed check,20.69,741.39,0,31,Low,9,On-time,1716.2505031603328,1.7,user48@example.com
sdv-id-qznBbG,0,0,1,0,41,1,1,Fiber optic,0,1,0,0,1,1,Two year,0,Electronic check,117.16,6469.51,0,41,Low,7,On-time,4376.50403856327,2.06,user49@example.com
sdv-id-oHiZpY,1,0,1,1,72,0,0,DSL,1,0,1,1,1,0,One year,1,Bank transfer (automatic),22.28,1580.82,0,45,Low,9,On-time,3578.5400082315555,3.39,user50@sample.com
sdv-id-iixvax,0,0,1,0,2,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Bank transfer (automatic),68.34,18.8,0,50,Low,0,On-time,3147.5793351011584,3.92,user51@example.com
sdv-id-fioaSK,0,0,0,1,72,1,0,DSL,1,1,0,1,1,1,Two year,1,Mailed check,83.11,6567.36,0,44,Low,2,On-time,3845.1146839915496,3.42,user52@test.org
sdv-id-sokADt,1,1,1,0,30,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,0,Electronic check,84.89,1649.22,0,69,High,0,On-time,1700.488553416496,1.86,user53@gmail.com
sdv-id-IAvIlw,1,1,0,0,70,1,0,No,0,0,0,0,0,0,Two year,1,Bank transfer (automatic),21.06,2042.46,0,63,Low,5,On-time,457.47493888090486,4.88,user54@sample.com
sdv-id-VcZgmq,1,0,1,0,72,1,0,DSL,1,1,1,1,1,1,Two year,0,Credit card (automatic),75.34,5636.97,0,44,Low,3,On-time,3912.1144247683324,2.14,user55@test.org
sdv-id-zVRFKG,1,0,0,0,34,1,1,DSL,1,0,0,0,0,1,Month-to-month,1,Mailed check,47.91,1880.32,1,32,Low,7,Late,67.67161106131898,4.49,user56@gmail.com
sdv-id-ESOUpb,1,0,0,0,29,1,1,Fiber optic,0,1,1,0,1,1,Month-to-month,0,Electronic check,101.71,2487.44,0,45,High,1,On-time,2860.1222462345863,2.87,user57@sample.com
sdv-id-NEelCD,0,1,1,0,14,1,0,Fiber optic,0,1,0,0,1,1,Month-to-month,1,Electronic check,74.43,4086.16,1,65,Low,9,On-time,2894.9331155986597,1.92,user58@sample.com
sdv-id-FSTSsK,0,1,0,0,24,1,1,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Credit card (automatic),117.05,3832.12,0,68,Low,0,Late,3425.7006882435503,4.44,user59@test.org
sdv-id-PLIpBT,0,0,1,0,70,1,1,Fiber optic,1,1,1,1,1,1,Two year,0,Credit card (automatic),107.99,7501.28,1,54,Low,6,Late,463.71039027488627,2.68,user60@sample.com
sdv-id-FduiqA,1,0,1,0,33,1,0,DSL,0,0,1,0,1,1,One year,1,Mailed check,65.5,1343.49,0,36,High,5,On-time,776.7939735767307,4.3,user61@example.com
sdv-id-gxWIEv,1,1,1,1,46,1,1,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Electronic check,90.68,4360.24,0,66,High,9,On-time,891.233216478042,4.02,user62@gmail.com
sdv-id-sFYJZm,1,0,0,0,30,1,0,No,0,0,0,0,0,0,Two year,0,Mailed check,23.9,1092.5,0,28,High,1,On-time,4784.895584809849,1.68,user63@demo.net
sdv-id-xxVnIQ,1,0,1,0,67,1,0,No,0,0,0,0,0,0,Two year,0,Credit card (automatic),20.93,1112.55,0,42,High,3,Late,2658.948279978671,2.55,user64@test.org
sdv-id-rlLViW,1,0,0,0,54,1,1,Fiber optic,1,1,1,1,0,1,One year,0,Credit card (automatic),96.5,3189.07,0,41,Low,1,On-time,1030.9544466597088,1.7,user65@sample.com
sdv-id-XXMlFt,0,0,0,0,1,1,0,DSL,0,0,1,0,0,0,Month-to-month,0,Mailed check,52.22,18.8,1,36,Low,9,On-time,3004.3733793454962,2.65,user66@sample.com
sdv-id-lJgyrb,1,0,0,0,1,0,0,DSL,0,0,1,0,0,1,Month-to-month,0,Mailed check,46.72,24.36,0,20,Low,7,On-time,3453.6853497769916,1.89,user67@test.org
sdv-id-gMRobY,1,0,0,0,69,1,0,No,0,0,0,0,0,0,Two year,0,Bank transfer (automatic),22.12,1337.4,0,35,Low,6,On-time,949.7865089497291,3.44,user68@example.com
sdv-id-MuiUWQ,0,0,0,0,22,1,0,DSL,0,0,0,0,1,1,Month-to-month,1,Bank transfer (automatic),56.98,514.99,1,21,Low,6,On-time,94.74575336554545,4.59,user69@demo.net
sdv-id-HJoErq,0,0,1,0,62,0,0,DSL,0,0,1,1,1,1,Two year,1,Credit card (automatic),47.98,1536.1,0,42,High,4,On-time,1452.802994692045,3.68,user70@gmail.com
sdv-id-LtIzod,0,0,1,0,64,1,1,Fiber optic,1,1,1,0,0,1,Two year,0,Credit card (automatic),97.3,6545.6,0,50,High,0,On-time,4501.048146337825,1.17,user71@example.com
sdv-id-MkSrUR,1,0,1,1,70,1,1,DSL,0,1,1,0,1,1,Two year,0,Credit card (automatic),102.82,5826.02,0,14,Low,8,On-time,4451.327083950493,2.53,user72@demo.net
sdv-id-PYFqHF,1,0,0,0,8,1,0,DSL,0,1,1,0,0,0,Month-to-month,0,Mailed check,54.23,249.44,0,38,Low,8,On-time,2074.2139917828563,1.73,user73@demo.net
sdv-id-QdbtEt,0,0,1,0,72,1,1,Fiber optic,0,1,1,1,1,1,Two year,1,Credit card (automatic),107.41,7218.04,1,23,Low,7,On-time,3435.3397767205897,1.55,user74@example.com
sdv-id-AlAEbN,0,1,0,0,24,0,0,DSL,0,1,0,1,1,1,Month-to-month,1,Credit card (automatic),76.44,658.93,1,71,Low,5,Late,1098.1793949683447,1.17,user75@gmail.com
sdv-id-OOuBpn,1,0,0,0,10,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,0,Credit card (automatic),99.81,497.63,1,62,Low,8,Late,2536.3500250819534,1.19,user76@demo.net
sdv-id-ehPPJQ,1,0,0,1,56,1,0,No,0,0,0,0,0,0,Two year,0,Credit card (automatic),20.34,1196.07,0,28,Low,9,On-time,2101.1346896295354,4.47,user77@example.com
sdv-id-RQOvat,1,1,0,0,27,0,1,Fiber optic,0,1,1,0,1,1,One year,1,Electronic check,100.62,4554.81,1,71,High,5,On-time,1383.878358860793,1.39,user78@gmail.com
sdv-id-yBUqof,1,0,1,1,71,1,1,DSL,1,1,1,1,1,1,Two year,1,Credit card (automatic),102.92,8463.78,0,24,High,1,On-time,1733.5575956145763,2.29,user79@gmail.com
sdv-id-NSzgfi,1,0,0,0,46,1,0,DSL,1,1,1,0,0,1,One year,0,Credit card (automatic),73.64,4162.25,0,35,Low,4,On-time,209.51613616379973,3.32,user80@example.com
sdv-id-NHPBfJ,0,1,1,0,2,1,0,Fiber optic,0,1,0,0,0,1,Month-to-month,1,Electronic check,91.81,290.1,0,75,High,3,On-time,2102.2746862011804,1.68,user81@test.org
sdv-id-SvAaUH,1,1,0,0,22,1,0,No,0,0,0,0,0,0,Two year,1,Credit card (automatic),19.26,62.2,0,70,Low,4,On-time,4676.358323603784,1.58,user82@test.org
sdv-id-Ochlnt,0,0,0,0,70,1,0,No,0,0,0,0,0,0,Two year,0,Bank transfer (automatic),18.25,1287.32,0,41,High,2,On-time,595.5821629896038,3.78,user83@test.org
sdv-id-kxNXlc,0,0,1,1,66,1,0,Fiber optic,0,1,0,1,1,1,Two year,0,Bank transfer (automatic),94.86,6875.98,0,37,High,8,Late,2793.7919461981014,3.76,user84@test.org
sdv-id-pNITQx,0,1,1,0,14,1,1,Fiber optic,0,1,0,0,1,1,Month-to-month,1,Electronic check,93.03,2096.59,1,69,Low,6,On-time,99.52901426946195,4.25,user85@gmail.com
sdv-id-duxrZU,1,0,1,1,15,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,87.28,114.51,1,33,High,2,Late,1100.2168337516512,3.98,user86@gmail.com
sdv-id-pAxkHC,1,1,0,0,7,0,0,DSL,0,1,0,0,0,0,Month-to-month,0,Mailed check,49.2,149.69,0,63,High,3,On-time,2586.4631526342946,2.95,user87@example.com
sdv-id-vhyToQ,1,0,1,0,72,0,1,Fiber optic,1,1,1,1,1,1,Two year,1,Credit card (automatic),78.31,5544.43,0,36,High,5,On-time,1418.2660202537463,1.99,user88@example.com
sdv-id-lCkBcH,1,0,0,0,18,1,0,No,0,0,0,0,0,0,Month-to-month,1,Bank transfer (automatic),21.99,18.8,0,29,Low,8,On-time,2265.5545048427816,1.64,user89@demo.net
sdv-id-uWvJgU,1,0,1,1,72,0,0,DSL,1,1,1,1,1,1,Two year,1,Credit card (automatic),88.63,4432.03,0,39,Low,8,On-time,2771.453878859073,4.06,user90@test.org
sdv-id-IZVWRn,1,1,0,0,2,0,0,DSL,0,0,1,0,0,0,Month-to-month,0,Mailed check,34.66,29.56,0,82,Low,6,Late,2563.2198173572174,4.51,user91@gmail.com
sdv-id-ZiHHPV,0,0,1,0,71,0,0,DSL,0,1,1,1,1,1,One year,1,Credit card (automatic),82.16,3101.19,0,39,High,7,On-time,4446.910114147356,4.0,user92@test.org
sdv-id-vDczXc,0,1,1,0,21,1,1,Fiber optic,0,1,0,0,0,1,Month-to-month,1,Electronic check,87.5,1442.74,1,68,Low,5,Late,3098.045701031261,2.71,user93@sample.com
sdv-id-yfakMX,1,0,1,1,72,0,0,DSL,1,1,1,0,1,1,Two year,1,Bank transfer (automatic),93.56,3236.19,0,42,Low,2,On-time,3508.8589294812064,4.78,user94@test.org
sdv-id-fXdKCV,0,0,1,1,60,1,0,DSL,1,1,0,1,0,0,Two year,0,Mailed check,62.0,4745.25,0,34,Low,7,On-time,655.1019290150292,3.78,user95@example.com
sdv-id-gAxbXi,1,0,1,1,48,1,0,DSL,1,1,1,0,0,0,One year,0,Mailed check,54.58,1051.9,0,51,Low,8,On-time,541.4107808437719,3.3,user96@test.org
sdv-id-wEldtF,0,0,1,1,60,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,102.67,2036.05,1,36,Low,9,Late,2365.328471810426,1.53,user97@demo.net
sdv-id-KGHHfj,0,0,1,1,20,1,0,Fiber optic,0,1,0,0,0,1,Month-to-month,1,Electronic check,107.85,1956.67,0,28,High,3,On-time,1668.4406896087164,2.69,user98@sample.com
sdv-id-WtenBH,0,1,0,0,15,1,1,No,0,0,0,0,0,0,One year,1,Bank transfer (automatic),21.66,263.85,0,72,High,5,On-time,1527.6582802685,3.86,user99@test.org
sdv-id-XUzRyK,0,0,1,1,70,1,0,Fiber optic,0,1,1,1,1,1,One year,1,Credit card (automatic),106.74,7263.45,0,31,High,6,On-time,623.4340663466849,1.18,user100@sample.com
sdv-id-ftTiCp,1,0,0,1,62,1,1,DSL,1,0,0,0,0,0,One year,0,Credit card (automatic),47.85,1214.53,0,38,Low,3,On-time,1570.085244130126,3.66,user101@test.org
sdv-id-IRvvIW,1,0,1,1,3,1,1,No,0,0,0,0,0,0,One year,1,Mailed check,24.37,623.73,0,45,High,2,On-time,3117.8780169325387,1.22,user102@gmail.com
sdv-id-fDILGu,1,0,1,1,11,1,0,No,0,0,0,0,0,0,Two year,0,Mailed check,20.73,306.77,0,32,High,2,On-time,4539.423637924798,3.18,user103@test.org
sdv-id-nsjCjz,1,0,0,0,1,0,0,DSL,0,1,0,0,0,0,Month-to-month,0,Mailed check,60.48,695.9,0,39,Low,3,On-time,935.0257205259884,2.88,user104@gmail.com
sdv-id-SkGMnK,0,0,1,1,55,1,0,DSL,0,0,0,1,0,0,One year,0,Credit card (automatic),44.78,2825.82,0,45,High,3,On-time,539.5790557312752,3.08,user105@demo.net
sdv-id-iACJoG,1,0,1,1,9,1,0,DSL,1,1,0,0,1,0,Month-to-month,0,Bank transfer (automatic),24.57,1573.08,0,27,Low,6,On-time,1861.3893459418896,3.9,user106@gmail.com
sdv-id-KfcYTf,0,0,1,1,72,1,1,Fiber optic,1,1,1,1,1,1,Two year,1,Credit card (automatic),112.61,8622.57,0,29,High,4,On-time,1511.9602370532043,1.69,user107@demo.net
sdv-id-WMuTmi,1,1,0,1,2,1,1,DSL,0,0,0,0,1,0,Month-to-month,1,Electronic check,53.38,824.74,1,69,Low,3,Late,58.41871872445583,1.62,user108@example.com
sdv-id-tRiXhh,1,0,0,0,15,0,0,DSL,1,0,1,0,0,1,Month-to-month,0,Credit card (automatic),52.56,1712.6,0,34,Low,8,On-time,1207.0007481560317,4.34,user109@example.com
sdv-id-GhkfEk,1,0,1,0,38,1,1,Fiber optic,1,1,1,0,0,1,One year,1,Credit card (automatic),98.66,2346.66,0,53,Low,4,On-time,3445.4640044751977,4.19,user110@gmail.com
sdv-id-sBHopM,1,0,1,1,28,0,0,DSL,0,1,0,0,0,1,Month-to-month,0,Credit card (automatic),63.3,676.47,0,32,High,1,On-time,1144.2797267158667,4.07,user111@test.org
sdv-id-AvZQqH,1,0,1,0,43,1,1,Fiber optic,0,1,0,0,1,1,One year,1,Bank transfer (automatic),105.9,3705.87,0,22,Low,8,On-time,1077.968643393397,1.69,user112@example.com
sdv-id-rnoPUI,0,0,0,0,24,1,0,Fiber optic,0,0,1,0,1,1,Month-to-month,0,Electronic check,89.86,2562.32,0,40,Low,2,On-time,2690.911540011367,1.33,user113@example.com
sdv-id-FQHjXr,1,0,0,0,58,1,0,Fiber optic,0,0,0,1,0,1,Month-to-month,0,Credit card (automatic),67.73,2288.04,0,47,Low,6,On-time,2541.2580374907043,4.13,user114@test.org
sdv-id-WECOnu,1,0,0,0,68,1,0,No,0,0,0,0,0,0,Two year,0,Credit card (automatic),20.21,2248.79,0,18,High,5,Late,1458.3053957361806,3.06,user115@example.com
sdv-id-aIIgga,0,1,1,0,71,0,0,DSL,1,1,1,1,1,1,Two year,1,Credit card (automatic),88.18,5924.03,0,63,Low,1,On-time,1956.032332044711,3.76,user116@example.com
sdv-id-xeuXdq,1,1,1,0,63,1,0,DSL,0,1,1,1,1,1,Two year,0,Bank transfer (automatic),84.7,8007.92,0,75,Low,4,On-time,1336.9540281622717,3.55,user117@gmail.com
sdv-id-mhzvZc,1,0,1,1,64,1,0,DSL,1,1,1,1,1,1,Two year,0,Electronic check,89.49,5977.77,0,29,High,9,On-time,1477.6720949437672,3.96,user118@test.org
sdv-id-EVavya,0,1,0,0,4,1,0,Fiber optic,0,1,1,0,1,1,Month-to-month,0,Electronic check,101.06,269.08,1,65,Low,6,On-time,1207.7725220020695,3.24,user119@example.com
sdv-id-zNbKYX,1,0,1,0,55,1,1,DSL,0,1,1,1,1,1,Month-to-month,1,Electronic check,79.39,5320.94,0,30,Low,5,On-time,4556.266161490079,3.8,user120@example.com
sdv-id-ihbZWG,0,1,1,0,71,1,1,DSL,1,0,1,1,1,0,Two year,0,Credit card (automatic),69.3,3761.96,0,70,Low,5,On-time,4164.209935019251,3.84,user121@demo.net
sdv-id-ZvIkTL,1,0,0,0,49,1,1,Fiber optic,0,0,0,0,1,0,Month-to-month,0,Credit card (automatic),89.87,5290.49,0,49,High,3,On-time,3407.547655994125,1.57,user122@sample.com
sdv-id-VhZavu,1,0,1,0,72,1,1,DSL,1,0,1,1,0,1,Two year,0,Mailed check,81.87,5431.96,0,28,Low,1,On-time,5572.847960735508,3.9,user123@test.org
sdv-id-VDTZZx,0,0,1,1,59,1,0,No,0,0,0,0,0,0,Two year,1,Bank transfer (automatic),23.62,1591.86,0,30,High,0,On-time,2072.9191243050564,2.64,user124@gmail.com
sdv-id-DihKlb,1,0,1,0,72,1,0,Fiber optic,1,1,1,0,1,1,Two year,1,Credit card (automatic),101.84,7862.43,0,35,Low,7,On-time,4932.879090439617,2.93,user125@test.org
sdv-id-jrptEI,1,0,0,0,1,1,0,No,0,0,0,0,0,0,Month-to-month,0,Credit card (automatic),19.84,102.72,0,55,Low,3,On-time,4058.66307435885,2.54,user126@sample.com
sdv-id-XklEJs,1,0,1,1,72,1,1,DSL,1,1,1,1,1,0,One year,0,Credit card (automatic),57.02,5060.87,0,26,Low,3,Late,1570.2185177835836,4.16,user127@example.com
sdv-id-lFrkDC,1,0,0,0,8,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,20.85,18.8,0,50,High,6,On-time,1523.7579444960124,2.53,user128@gmail.com
sdv-id-pedodN,1,0,1,1,60,1,1,No,0,0,0,0,0,0,Two year,1,Bank transfer (automatic),20.16,1544.5,0,33,Low,8,On-time,2443.3300511408215,4.64,user129@gmail.com
sdv-id-KFdbft,0,0,0,0,3,1,1,DSL,0,0,1,1,1,1,Month-to-month,0,Mailed check,25.12,18.8,0,43,Low,9,On-time,1875.165542531551,3.18,user130@example.com
sdv-id-LhgmNT,0,0,1,0,26,1,1,Fiber optic,0,0,0,0,0,1,Month-to-month,1,Electronic check,90.26,5928.99,0,32,Low,6,Late,3601.360409497916,2.56,user131@demo.net
sdv-id-NRokeq,0,0,0,0,30,1,1,DSL,0,1,0,0,1,1,Month-to-month,1,Credit card (automatic),82.37,1717.83,0,31,Low,8,On-time,1675.557712929908,2.17,user132@sample.com
sdv-id-KiYGdW,1,0,1,1,60,1,0,No,0,0,0,0,0,0,Two year,1,Mailed check,19.85,1092.27,0,35,High,0,On-time,3823.251786780406,4.75,user133@example.com
sdv-id-ZAwPaj,1,1,0,0,25,1,0,No,0,0,0,0,0,0,Month-to-month,1,Electronic check,20.94,39.47,0,70,Low,9,On-time,3637.5496273775934,3.37,user134@gmail.com
sdv-id-cXoTDa,0,0,1,1,1,1,0,Fiber optic,0,0,1,1,1,1,Month-to-month,1,Bank transfer (automatic),87.6,1174.43,0,40,High,4,On-time,739.2978673626021,4.8,user135@example.com
